sequence,model,ADE_px,FDE_px,runtime_sec
anita_seq07,kalman,9.216166340986405,16.68444297783849,0.6312978999048937
anita_seq07,cv,12.419726535080914,23.155982435116304,0.20748139978968538
anita_seq08,kalman,7.782496873937473,14.236193424650267,1.0156624001683667
anita_seq08,cv,10.339221484379584,19.280544077797273,0.3770694998675026
anita_seq09,kalman,14.448126028333531,24.857679889160313,0.3757778995204717
anita_seq09,cv,21.79107540668619,38.82150039257503,0.1351485000050161
chrisi_seq01,kalman,9.307776660846262,17.00411696540427,0.34474580019013956
chrisi_seq01,cv,12.57632838535333,23.176475157293616,0.12289680019603111
chrisi_seq02,kalman,9.126953290982273,17.15179225257656,0.4018334998982027
chrisi_seq02,cv,11.586785636748616,21.711791578197765,0.14373850042466074
chrisi_seq05,kalman,8.55891586349534,16.03523133747481,0.5181583000230603
chrisi_seq05,cv,11.370877302454904,21.289420220446907,0.19665370022994466
chrisi_seq07,kalman,6.98690480592489,12.873020519370577,0.6952974992746022
chrisi_seq07,cv,9.061226221884954,16.93852103300701,0.2554486998124048
clemens_seq03,kalman,8.483272279871414,16.687012549459116,0.35635810025269166
clemens_seq03,cv,10.533446094117817,20.548953447306538,0.12070540015702136
clemens_seq08,kalman,10.765565219588499,20.88566708386557,0.45331560022896156
clemens_seq08,cv,13.291894423379105,25.755590382127025,0.16177439925377257
clemens_seq09,kalman,9.268006673759329,17.2317889574579,0.4457944000023417
clemens_seq09,cv,11.754125878766175,22.307230507024723,0.15604349976638332
clemens_seq10,kalman,11.834456658187557,23.614312577243872,0.44787029997678474
clemens_seq10,cv,14.366909418504891,28.20978481012528,0.15551879999111407
clemens_seq12,kalman,4.477655545442059,7.748336476806533,0.35597999987658113
clemens_seq12,cv,5.873651367908343,10.853037808271107,0.12409779985318892
clemens_seq15,kalman,6.147892943392854,11.63757633410017,0.5971831998322159
clemens_seq15,cv,7.787330007752121,15.072192440899611,0.20436679985141382
connie_seq08,kalman,10.276542569366127,19.45080102697564,0.42368760047247633
connie_seq08,cv,13.123300427552142,24.7493406979728,0.1411119999247603
hans_seq05,kalman,6.866329696164854,11.618165889620128,0.3265504001174122
hans_seq05,cv,10.104673969631643,18.548483310085466,0.11514020015602
hans_seq06,kalman,8.151085524399077,13.184964419680952,0.41201429965440184
hans_seq06,cv,10.455490653733252,17.14479708863082,0.142640699777985
hans_seq12,kalman,6.648528331303806,12.413354739349636,0.3081414000771474
hans_seq12,cv,9.215999148562858,17.18975966615093,0.10896270026569255
horvath2_seq04,kalman,6.068977894953954,11.405140793972034,0.29728149966103956
horvath2_seq04,cv,8.138622695296663,15.561468738656801,0.10487510004895739
horvath2_seq08,kalman,8.370121121650618,15.833873904852489,0.34716699985438026
horvath2_seq08,cv,11.281317927743324,21.75612841438869,0.1200013998313807
horvath_seq01,kalman,10.402028112589813,18.51757405465074,0.30565770002431236
horvath_seq01,cv,13.360734061157062,24.613520796444615,0.10533200009376742
lisa_seq05,kalman,10.172527014718696,19.375778990127248,0.4329891001980286
lisa_seq05,cv,12.71171718006851,24.328780814265624,0.14877939986763522
lisa_seq08,kalman,8.25404057185152,15.297423892167412,0.423860999988392
lisa_seq08,cv,10.648466028114477,20.213904743274842,0.14609489974100143
richard_seq03,kalman,11.83873039967387,21.88229605558811,0.3853909999015741
richard_seq03,cv,15.23574527869155,28.736887500239824,0.13460669995401986
richard_seq06,kalman,4.221991378636976,7.724638346184909,0.38621070014778525
richard_seq06,cv,5.588716257560075,10.474204486401545,0.14069059965549968
stefan_seq03,kalman,9.676743226922166,17.899396528141853,0.5023941998952068
stefan_seq03,cv,12.025711820225105,22.29201262910292,0.17541839979821816
stefan_seq09,kalman,6.207810906131437,11.414806154966533,0.5677781000849791
stefan_seq09,cv,8.15620782347993,15.238576572831459,0.23756429995410144
ursula_seq05,kalman,4.332363285665604,8.162791024710614,0.4016966001945548
ursula_seq05,cv,5.595931681139624,10.668078635606905,0.15550710054230876
ursula_seq12,kalman,7.8056992676202475,13.790838195841756,0.3338041999959387
ursula_seq12,cv,11.308898311976467,20.761343691505623,0.12219909971463494
wolfgang_seq09,kalman,5.4472460414988815,10.41001562156739,0.28895920029026456
wolfgang_seq09,cv,7.23013318655821,13.955932831222194,0.1018943997041788
wolfgang_seq10,kalman,7.126303364169103,12.856476058917302,0.40650630011805333
wolfgang_seq10,cv,9.56870023245745,18.049533555713914,0.22048610015190206
