sequence,model,ADE_px,FDE_px,runtime_sec
anita_seq07,lstm,9.626134558550458,17.213587936649635,0.2551283836364746
anita_seq07,gru,9.807012382934904,17.57136447755957,0.19484519958496094
anita_seq07,transformer,6.290861482284844,10.470780321674733,0.4219062328338623
anita_seq08,lstm,7.137633724433505,13.669568938803664,0.5046439170837402
anita_seq08,gru,7.162608499578327,12.237422019324919,0.42395663261413574
anita_seq08,transformer,6.478257284830619,10.70195491314782,0.7529714107513428
anita_seq09,lstm,14.388685453098539,25.233076224142664,0.4199962615966797
anita_seq09,gru,12.41072066510023,21.134893343638467,0.33597588539123535
anita_seq09,transformer,13.644422067523696,24.96870883907056,0.5524754524230957
chrisi_seq01,lstm,6.671318674639504,9.523278547109388,0.43209290504455566
chrisi_seq01,gru,5.010523921854834,7.449148367622758,0.35898351669311523
chrisi_seq01,transformer,5.689743682521537,7.997110989813213,0.5721557140350342
chrisi_seq02,lstm,4.582538982680879,7.351537342128008,0.5189995765686035
chrisi_seq02,gru,4.932268719568388,7.485817140054666,0.415982723236084
chrisi_seq02,transformer,4.554701771333548,7.517507128508436,0.6519558429718018
chrisi_seq05,lstm,4.6480592517166235,7.1423827353860005,0.6417787075042725
chrisi_seq05,gru,4.536681835282372,6.964464730944557,0.5180082321166992
chrisi_seq05,transformer,4.72808355860824,7.814580722982244,0.7962408065795898
chrisi_seq07,lstm,4.932078793076468,7.545288307939457,0.8716614246368408
chrisi_seq07,gru,3.9784564422790214,6.064993478822099,0.7428247928619385
chrisi_seq07,transformer,3.7462201491211355,5.598040412486934,1.1217210292816162
clemens_seq03,lstm,5.028414467161275,9.229997579927357,0.45215892791748047
clemens_seq03,gru,4.581699537021306,8.129630872766498,0.36657118797302246
clemens_seq03,transformer,4.295778439568105,8.139215435694442,0.5932528972625732
clemens_seq08,lstm,9.089476481368191,16.96075049670314,0.5602962970733643
clemens_seq08,gru,7.630663106057793,14.321703590292882,0.4710402488708496
clemens_seq08,transformer,6.631943903037948,12.30989971118606,0.7784988880157471
clemens_seq09,lstm,6.887465663849072,11.638371859488815,0.5782260894775391
clemens_seq09,gru,6.347977803337701,11.676230684033467,0.46314120292663574
