sequence,model,ADE_px,FDE_px,runtime_sec
anita_seq07,lstm,33.28938115806138,62.15832710497846,0.26032352447509766
anita_seq07,gru,32.5710555278418,56.15511666100246,0.18503451347351074
anita_seq07,transformer,33.57228017713407,63.16413529803692,0.41883063316345215
anita_seq08,lstm,21.10151002728627,45.65901035823537,0.5226991176605225
anita_seq08,gru,21.110363379268183,44.386591954001574,0.42400503158569336
anita_seq08,transformer,23.292638579691396,39.8218759770253,0.7290821075439453
anita_seq09,lstm,32.47297602118015,56.02618211727863,0.4340782165527344
anita_seq09,gru,31.756311726577625,61.14516719926256,0.3509788513183594
anita_seq09,transformer,34.053961142284685,73.46141689687792,0.5270578861236572
chrisi_seq01,lstm,11.887488509882314,23.103240883228146,0.4279508590698242
chrisi_seq01,gru,14.344148331586124,30.10176655481366,0.35498738288879395
chrisi_seq01,transformer,13.46548537868308,23.96257480065923,0.5500056743621826
chrisi_seq02,lstm,13.209629408046544,30.361727033313503,0.5172631740570068
chrisi_seq02,gru,13.714406595013264,34.33020714163422,0.41144609451293945
chrisi_seq02,transformer,22.19223722911617,30.046771188141722,0.6451592445373535
chrisi_seq05,lstm,14.880870599025839,34.15723518975397,0.6329562664031982
chrisi_seq05,gru,13.550727034983623,27.158083718555947,0.5161042213439941
chrisi_seq05,transformer,24.40371234610417,41.552132875778575,0.7759778499603271
chrisi_seq07,lstm,12.215230745962332,26.989606110335316,0.8479199409484863
chrisi_seq07,gru,10.05566929252228,18.57844062719296,0.7002952098846436
chrisi_seq07,transformer,16.872063888436045,32.29126320209119,1.1025691032409668
clemens_seq03,lstm,22.07265817205379,52.65072113417887,0.45105886459350586
clemens_seq03,gru,22.705325134907234,50.4897613098478,0.35309267044067383
clemens_seq03,transformer,26.80148353107196,62.246303029781764,0.5748782157897949
clemens_seq08,lstm,34.64738632206406,84.73566840528028,0.5632469654083252
clemens_seq08,gru,27.988309862346792,63.12272363153733,0.4640192985534668
clemens_seq08,transformer,35.47609360567493,77.0918940271332,0.7270791530609131
clemens_seq09,lstm,27.19045969043757,65.09952575356915,0.56209397315979
clemens_seq09,gru,25.697902198604996,55.48588457683654,0.4581925868988037
clemens_seq09,transformer,23.80292868207847,59.62728863570086,0.7001779079437256
clemens_seq10,lstm,20.50046723472416,47.3376465685287,0.5701208114624023
clemens_seq10,gru,23.818260723541528,48.71347723768959,0.4741339683532715
clemens_seq10,transformer,26.96292375369381,53.136117804310224,0.7291815280914307
clemens_seq12,lstm,7.644749755580316,12.126926173292038,0.45160961151123047
clemens_seq12,gru,10.367115732505154,16.347842083529873,0.3621501922607422
clemens_seq12,transformer,8.526948275499,13.88666434423789,0.591562032699585
clemens_seq15,lstm,11.220870495894157,25.709884120139677,0.753976583480835
clemens_seq15,gru,17.947159823643588,40.944662643001166,0.6180756092071533
clemens_seq15,transformer,11.195459148631004,20.04448685498588,0.9624056816101074
connie_seq08,lstm,15.45715618990863,31.472209208123505,0.49595189094543457
connie_seq08,gru,20.596281967225977,43.07854384228816,0.4091010093688965
connie_seq08,transformer,19.110828657448707,41.16513152585344,0.6558318138122559
hans_seq05,lstm,13.506047808691411,22.774554775579567,0.41301393508911133
hans_seq05,gru,8.556929348694622,13.37788084356391,0.34976649284362793
hans_seq05,transformer,20.4864728775335,42.98490140979369,0.5470170974731445
hans_seq06,lstm,16.88573123211421,34.693699255587134,0.5379836559295654
hans_seq06,gru,17.400905557891107,37.01549396164506,0.43904614448547363
hans_seq06,transformer,27.952167068887896,46.85732928660283,0.6848881244659424
hans_seq12,lstm,22.17852884851613,57.96768546738648,0.40197038650512695
hans_seq12,gru,19.27873367451394,47.518015542284616,0.32403063774108887
hans_seq12,transformer,23.58621622249613,54.256526508104216,0.5309879779815674
horvath2_seq04,lstm,13.60121906062938,33.29496943430362,0.37897229194641113
horvath2_seq04,gru,14.752028175992933,34.095889083267686,0.3201289176940918
horvath2_seq04,transformer,15.407250569443372,40.19170562697726,0.506488561630249
horvath2_seq08,lstm,12.683307511079006,25.4760837863738,0.4519178867340088
horvath2_seq08,gru,15.087508914033593,33.43877818987079,0.3665194511413574
horvath2_seq08,transformer,15.270606492939535,27.561108282667387,0.5978062152862549
horvath_seq01,lstm,18.63265683440858,40.630361360403185,0.4012260437011719
horvath_seq01,gru,27.514672682794256,43.99215840983603,0.33495640754699707
horvath_seq01,transformer,19.388119803150236,26.77116118641341,0.5139255523681641
lisa_seq05,lstm,13.552730877003135,29.599087172119088,0.5696516036987305
lisa_seq05,gru,16.84911985113537,28.520052182142273,0.45904040336608887
lisa_seq05,transformer,17.85195771101591,29.771648693537646,0.7300245761871338
lisa_seq08,lstm,14.068833939066625,33.54892012021726,0.5478858947753906
lisa_seq08,gru,14.780795695475424,39.666079975219084,0.4343380928039551
lisa_seq08,transformer,14.918784200898166,31.059639986707793,0.7196478843688965
richard_seq03,lstm,16.106103826751088,33.05519482874051,0.5162591934204102
richard_seq03,gru,20.265468908866982,31.97305350160795,0.40079760551452637
richard_seq03,transformer,14.922753167747482,27.035824421487586,0.6595711708068848
richard_seq06,lstm,7.415090757900883,14.431264048486405,0.49308252334594727
richard_seq06,gru,8.904246475076814,15.65284709125138,0.40412092208862305
richard_seq06,transformer,6.958924624718723,11.095223372746021,0.6467528343200684
stefan_seq03,lstm,17.777825810007112,34.2307437537389,0.6430842876434326
stefan_seq03,gru,24.53816875401488,46.07755341700785,0.5261974334716797
stefan_seq03,transformer,19.257242280666826,29.936188162208428,0.8498914241790771
stefan_seq09,lstm,14.706050178268171,34.09121156469785,0.6111066341400146
stefan_seq09,gru,12.940360994337084,33.39348966497756,0.49923276901245117
stefan_seq09,transformer,12.088413708916926,24.317024631933233,0.8311488628387451
ursula_seq05,lstm,18.190285783204278,36.09272782601299,0.4950215816497803
ursula_seq05,gru,12.65183842520733,30.557206821729967,0.39354848861694336
ursula_seq05,transformer,13.672443918121074,27.504899401443303,0.641099214553833
ursula_seq12,lstm,19.901141950811503,42.29681318744593,0.42702484130859375
ursula_seq12,gru,23.577067425682397,54.652158300325716,0.35065793991088867
ursula_seq12,transformer,29.330653149525,59.951529258589304,0.5629041194915771
wolfgang_seq09,lstm,12.601685250113157,25.961643723899744,0.3681068420410156
wolfgang_seq09,gru,13.320721362725704,31.00961280449389,0.2973320484161377
wolfgang_seq09,transformer,12.469037639049992,26.245091233912074,0.4639441967010498
wolfgang_seq10,lstm,9.422749152647707,11.386232298747242,0.3489234447479248
wolfgang_seq10,gru,9.129606338198204,12.017904436468157,0.29607701301574707
wolfgang_seq10,transformer,14.378194531123455,37.93653003837717,0.4330461025238037
