sequence,model,ADE_px,FDE_px,runtime_sec
anita_seq07,lstm,6.915982880086625,11.877015036642947,0.26006078720092773
anita_seq07,gru,5.039883901059155,8.611969214651488,0.1791541576385498
anita_seq07,transformer,4.730764568638508,7.839810945062109,0.40958380699157715
anita_seq08,lstm,5.948092125682528,10.878373248077429,0.5174736976623535
anita_seq08,gru,5.754913414078769,10.022451791833094,0.43909502029418945
anita_seq08,transformer,5.971575913652258,9.241892803212588,0.7901232242584229
anita_seq09,lstm,9.93904069192033,15.887518176205054,0.5102605819702148
anita_seq09,gru,8.720363084229714,14.429887019238258,0.39696335792541504
anita_seq09,transformer,12.13701528584489,21.08257556096392,0.6428077220916748
chrisi_seq01,lstm,4.86273051908029,6.962534878046862,0.5105760097503662
chrisi_seq01,gru,4.430944999020631,5.674719245915549,0.38631224632263184
chrisi_seq01,transformer,4.692542351878839,6.830783304706568,0.6291704177856445
chrisi_seq02,lstm,5.230092004832031,8.459675229960986,0.586228609085083
chrisi_seq02,gru,4.4828248659405725,5.911774043651809,0.46092796325683594
chrisi_seq02,transformer,5.260135573314304,8.615101372963492,0.727114200592041
chrisi_seq05,lstm,4.988600763761986,8.08621911960986,0.7388603687286377
chrisi_seq05,gru,4.34002914644229,5.9149761388200135,0.5708794593811035
chrisi_seq05,transformer,5.0645685119942305,8.289581800545479,0.9183282852172852
chrisi_seq07,lstm,4.547074780378217,7.442243910445638,1.0286543369293213
chrisi_seq07,gru,3.59840037696152,5.148946734340034,0.7766733169555664
chrisi_seq07,transformer,3.521807952935251,5.492233274677081,1.249009132385254
clemens_seq03,lstm,4.29715262301932,7.531946762938272,0.5331251621246338
clemens_seq03,gru,4.088659829080981,6.160314481865178,0.38692784309387207
clemens_seq03,transformer,4.909580143587792,9.126388346670002,0.6314611434936523
clemens_seq08,lstm,5.187090781693956,9.274189831865419,0.6409344673156738
clemens_seq08,gru,6.135234556450677,11.470866552412712,0.49623799324035645
clemens_seq08,transformer,7.033880897231276,14.143567342327616,0.7850043773651123
clemens_seq09,lstm,5.497744186715098,9.767762939559974,0.6580760478973389
clemens_seq09,gru,5.049294327476715,7.929133804951268,0.5015833377838135
clemens_seq09,transformer,5.866191365417827,10.262388413671706,0.8029575347900391
clemens_seq10,lstm,6.88836325139144,11.9869862459782,0.6706416606903076
