sequence,model,ADE_px,FDE_px,runtime_sec
anita_seq07,kalman,19.572046943751996,38.3069974874968,0.25505219990736805
anita_seq07,cv,28.129452990571895,54.5226724591637,0.12170419993344694
anita_seq08,kalman,13.355827273410755,31.145665116917527,0.37467759975697845
anita_seq08,cv,17.08490732407497,37.15255519247564,0.19751029997132719
anita_seq09,kalman,31.784845945517525,62.53447122691011,0.26384420003159903
anita_seq09,cv,44.42964152465385,81.95124219243574,0.1362424000108149
chrisi_seq01,kalman,20.830086805307772,43.8578616784095,0.29445459981798194
chrisi_seq01,cv,26.578135029021503,53.06496773100119,0.1564441999362316
chrisi_seq02,kalman,17.81461097733954,38.371850567116816,0.35414020001189783
chrisi_seq02,cv,22.07195100893741,45.849389294184,0.18997470004251227
chrisi_seq05,kalman,17.13001987302423,36.62430962237026,0.38006170027074404
chrisi_seq05,cv,22.0541448108083,44.44304046856294,0.1971725994371809
chrisi_seq07,kalman,14.166800761753054,29.97146629755145,0.5097831998718902
chrisi_seq07,cv,17.992728049319968,36.684419290609945,0.2581628001353238
clemens_seq03,kalman,19.309240538054155,45.3812850548037,0.2695447002479341
clemens_seq03,cv,22.360234857027628,50.03367273698627,0.13323019977542572
clemens_seq08,kalman,22.60714619806614,47.47185135153824,0.33716819985420443
clemens_seq08,cv,26.54117324250596,54.39954920748788,0.1711144002911169
clemens_seq09,kalman,20.45677064700294,45.36853846711089,0.33520580010372214
clemens_seq09,cv,24.87844155843711,52.34206196547391,0.16956540002138354
clemens_seq10,kalman,23.495822638153125,54.02080935973184,0.34263259966974147
clemens_seq10,cv,26.82981643607253,57.988318593646284,0.1717696998093743
clemens_seq12,kalman,8.170602910476196,16.11703928047716,0.26995539976633154
clemens_seq12,cv,11.031239212167113,21.68494159289559,0.1332390001625754
clemens_seq15,kalman,12.795792971627789,29.505863237127627,0.46363370021572337
clemens_seq15,cv,15.546180785383585,34.024688146005765,0.23608769991551526
connie_seq08,kalman,19.285855003564897,39.19778117780337,0.30655480004497804
connie_seq08,cv,24.91801860487123,50.43869560837561,0.15570189952268265
hans_seq05,kalman,15.472467190168334,30.68556637654795,0.2526012001908384
hans_seq05,cv,21.91198587046938,43.20196521091366,0.12745620007626712
hans_seq06,kalman,13.808892164567093,25.574071841550403,0.3187170001328923
hans_seq06,cv,17.10364311645087,30.258210734644745,0.1608529004151933
hans_seq12,kalman,10.121095354780175,22.373204656913458,0.2550241003045812
hans_seq12,cv,14.391263739122017,30.26358371263524,0.13194359975750558
horvath2_seq04,kalman,12.973257405808548,29.205962897613677,0.232418699801201
horvath2_seq04,cv,16.500806755899184,35.297695487956645,0.11919510003644973
horvath2_seq08,kalman,17.062234327735602,37.91072032462025,0.2743922996742185
horvath2_seq08,cv,21.681210928823667,45.415655522475674,0.13812470017001033
horvath_seq01,kalman,19.782434053298328,38.36790582938107,0.23898069994174875
horvath_seq01,cv,25.523697783971706,48.309565445948046,0.12071450013900176
lisa_seq05,kalman,21.67750623525427,45.25211366770204,0.34305479982867837
lisa_seq05,cv,26.55430625852867,53.255573570854786,0.17154520042822696
lisa_seq08,kalman,14.850431334681952,30.897209628845868,0.33393049996811897
lisa_seq08,cv,18.85591329604879,37.91723465721043,0.16501020002760924
richard_seq03,kalman,25.013452446238535,50.14168658872265,0.29710860014893115
richard_seq03,cv,31.302783516224817,60.05732863476062,0.15265889998408966
richard_seq06,kalman,7.606480855348684,14.838982047722771,0.3098782996821683
richard_seq06,cv,10.246088241062145,19.759599230144367,0.15631380028207786
stefan_seq03,kalman,18.236400584162855,36.00555047039006,0.3692608998971991
stefan_seq03,cv,22.742280297698148,43.96208314783051,0.18340349971549585
stefan_seq09,kalman,11.795315886263237,24.77535387672763,0.36678239979664795
stefan_seq09,cv,15.251225005449736,30.943863560997887,0.17905450041871518
ursula_seq05,kalman,9.599882487082017,22.05155173958359,0.29936140013160184
ursula_seq05,cv,11.503743946542228,25.5237517244024,0.1513020998390857
ursula_seq12,kalman,15.167359840421518,34.54377674839043,0.2538890005671419
ursula_seq12,cv,20.490273322135067,43.54272571660334,0.13053900049999356
wolfgang_seq09,kalman,10.260631574555937,24.6877115550552,0.21505810003145598
wolfgang_seq09,cv,12.962793189722461,29.17359301251314,0.1072497999703046
wolfgang_seq10,kalman,16.79305600062904,36.21696724439241,0.20976520018302836
wolfgang_seq10,cv,20.677154430699094,42.80903335496426,0.10909389978041872
