sequence,model,ADE_px,FDE_px,runtime_sec
anita_seq07,lstm,10.72597903473689,19.96966756114312,0.26956701278686523
anita_seq07,gru,23.65037323757891,43.96139049136479,0.1867532730102539
anita_seq07,transformer,7.475496106694575,14.577167639578462,0.29601454734802246
anita_seq08,lstm,9.668651234799093,19.14601816904798,0.3610081672668457
anita_seq08,gru,27.343270747826967,53.11884827451828,0.3311350345611572
anita_seq08,transformer,10.946599390948444,20.80335056868841,0.4500124454498291
anita_seq09,lstm,13.970529557752117,23.170033723867576,0.2597198486328125
anita_seq09,gru,24.94084905435656,43.761686027594926,0.24698829650878906
anita_seq09,transformer,10.209009307176958,16.563597265347042,0.33519721031188965
chrisi_seq01,lstm,6.795341084465246,11.066191189097589,0.2692580223083496
chrisi_seq01,gru,23.887797227106567,45.62525197015578,0.28081274032592773
chrisi_seq01,transformer,6.943869518082983,11.344910623105921,0.3580594062805176
chrisi_seq02,lstm,6.893241349569444,11.515637818696986,0.2873725891113281
chrisi_seq02,gru,30.016378354697284,56.27353987525774,0.27215147018432617
chrisi_seq02,transformer,8.499031136621664,14.874449334328077,0.3990621566772461
chrisi_seq05,lstm,6.360514363128241,10.379984981250821,0.35653042793273926
chrisi_seq05,gru,30.77063636044415,58.09527163302472,0.3840301036834717
chrisi_seq05,transformer,7.595713994598348,13.70573285800168,0.46828532218933105
chrisi_seq07,lstm,6.271780829183192,10.263378271322358,0.49211883544921875
chrisi_seq07,gru,20.7956703588593,39.9107726155668,0.48285746574401855
chrisi_seq07,transformer,7.917948138053879,14.475827649908723,0.6526682376861572
clemens_seq03,lstm,7.363785305342794,14.559848230572848,0.24866652488708496
clemens_seq03,gru,23.37813988453465,43.58251026160191,0.25066399574279785
clemens_seq03,transformer,5.6414662514354275,9.467084555489011,0.31532716751098633
clemens_seq08,lstm,10.331268626478467,20.581348385636222,0.29551124572753906
clemens_seq08,gru,23.18332089970284,44.601385709492696,0.30455660820007324
clemens_seq08,transformer,7.758990968102617,15.555884380641672,0.4141104221343994
clemens_seq09,lstm,7.8119529701209505,14.390243201632265,0.34731221199035645
